Period,AccountCode,AccountName,Type,BudgetAmount
2025-08-01,6100,OPEX - Salaries,OPEX,-39975.08
2025-08-01,6200,OPEX - Rent,OPEX,-6820.6
2025-08-01,6300,OPEX - Utilities,OPEX,-1285.45
2025-08-01,6350,OPEX - Tools & SaaS,OPEX,-1090.35
2025-08-01,6400,OPEX - Logistics Overhead,OPEX,-1723.49
2025-08-01,8000,Taxes - Income/Turnover,Taxes,-24626.44
2025-09-01,4000,Revenue,Revenue,402810.1
2025-09-01,5000,COGS - Merchandise,COGS,-211425.39
2025-09-01,5100,COGS - Shipping,COGS,-23273.96
2025-09-01,5200,COGS - Platform Fees,COGS,-24506.33
2025-09-01,6000,OPEX - Advertising,OPEX,-29357.87
2025-09-01,6100,OPEX - Salaries,OPEX,-40652.47
2025-09-01,6200,OPEX - Rent,OPEX,-6625.02
2025-09-01,6300,OPEX - Utilities,OPEX,-1096.81
2025-09-01,6350,OPEX - Tools & SaaS,OPEX,-872.65
2025-09-01,6400,OPEX - Logistics Overhead,OPEX,-1655.46
2025-09-01,8000,Taxes - Income/Turnover,Taxes,-22828.05
