Period,AccountCode,AccountName,Type,Amount
2025-05-01,6200,OPEX - Rent,OPEX,-6386.59
2025-05-01,6300,OPEX - Utilities,OPEX,-1130.07
2025-05-01,6350,OPEX - Tools & SaaS,OPEX,-968.88
2025-05-01,6400,OPEX - Logistics Overhead,OPEX,-1882.53
2025-05-01,8000,Taxes - Income/Turnover,Taxes,-26332.47
2025-06-01,4000,Revenue,Revenue,377124.77
2025-06-01,5000,COGS - Merchandise,COGS,-205750.63
2025-06-01,5100,COGS - Shipping,COGS,-22071.06
2025-06-01,5200,COGS - Platform Fees,COGS,-23490.19
2025-06-01,6000,OPEX - Advertising,OPEX,-36011.08
2025-06-01,6100,OPEX - Salaries,OPEX,-37888.86
2025-06-01,6200,OPEX - Rent,OPEX,-6271.76
2025-06-01,6300,OPEX - Utilities,OPEX,-1285.3
2025-06-01,6350,OPEX - Tools & SaaS,OPEX,-978.24
2025-06-01,6400,OPEX - Logistics Overhead,OPEX,-1836.77
2025-06-01,8000,Taxes - Income/Turnover,Taxes,-28741.5
2025-07-01,4000,Revenue,Revenue,377875.58
2025-07-01,5000,COGS - Merchandise,COGS,-205910.3
2025-07-01,5100,COGS - Shipping,COGS,-22362.69
2025-07-01,5200,COGS - Platform Fees,COGS,-23683.35
2025-07-01,6000,OPEX - Advertising,OPEX,-34325.72
2025-07-01,6100,OPEX - Salaries,OPEX,-37975.18
2025-07-01,6200,OPEX - Rent,OPEX,-6513.64
2025-07-01,6300,OPEX - Utilities,OPEX,-1171.02
2025-07-01,6350,OPEX - Tools & SaaS,OPEX,-757.63
2025-07-01,6400,OPEX - Logistics Overhead,OPEX,-1564.73
2025-07-01,8000,Taxes - Income/Turnover,Taxes,-29435.57
2025-08-01,4000,Revenue,Revenue,369049.38
2025-08-01,5000,COGS - Merchandise,COGS,-199935.05
2025-08-01,5100,COGS - Shipping,COGS,-22021.85
2025-08-01,5200,COGS - Platform Fees,COGS,-23486.94
2025-08-01,6000,OPEX - Advertising,OPEX,-22606.92
2025-08-01,6100,OPEX - Salaries,OPEX,-38545.64
2025-08-01,6200,OPEX - Rent,OPEX,-6388.61
2025-08-01,6300,OPEX - Utilities,OPEX,-1203.43
2025-08-01,6350,OPEX - Tools & SaaS,OPEX,-1022.27
2025-08-01,6400,OPEX - Logistics Overhead,OPEX,-1649.58
2025-08-01,8000,Taxes - Income/Turnover,Taxes,-24607.42
2025-09-01,4000,Revenue,Revenue,361038.29
2025-09-01,5000,COGS - Merchandise,COGS,-198125.73
2025-09-01,5100,COGS - Shipping,COGS,-21378.420000000002
2025-09-01,5200,COGS - Platform Fees,COGS,-22512.93
2025-09-01,6000,OPEX - Advertising,OPEX,-27588.86
2025-09-01,6100,OPEX - Salaries,OPEX,-39022.2
2025-09-01,6200,OPEX - Rent,OPEX,-6337.28
2025-09-01,6300,OPEX - Utilities,OPEX,-1030.79
2025-09-01,6350,OPEX - Tools & SaaS,OPEX,-836.93
2025-09-01,6400,OPEX - Logistics Overhead,OPEX,-1596.73
2025-09-01,8000,Taxes - Income/Turnover,Taxes,-22209.73
