Date,AccountCode,AccountName,Type,Amount
2024-10-12,4000,Revenue,Revenue,11780.69
2024-10-13,4000,Revenue,Revenue,16190.97
2024-10-13,5000,COGS - Merchandise,COGS,-8568.63
2024-10-13,5100,COGS - Shipping,COGS,-1009.99
2024-10-13,5200,COGS - Platform Fees,COGS,-1080.64
2024-10-14,5200,COGS - Platform Fees,COGS,-733.41
2024-10-14,4000,Revenue,Revenue,11578.23
2024-10-14,5000,COGS - Merchandise,COGS,-6402.71
2024-10-14,5100,COGS - Shipping,COGS,-668.97
2024-10-15,5100,COGS - Shipping,COGS,-784.68
2024-10-15,5200,COGS - Platform Fees,COGS,-858.23
2024-10-15,4000,Revenue,Revenue,14536.87
2024-10-15,5000,COGS - Merchandise,COGS,-8172.65
2024-10-16,5200,COGS - Platform Fees,COGS,-664.94
2024-10-16,5100,COGS - Shipping,COGS,-682.01
2024-10-16,5000,COGS - Merchandise,COGS,-6060.51
2024-10-16,4000,Revenue,Revenue,11204.64
2024-10-17,4000,Revenue,Revenue,12493.97
2024-10-17,5000,COGS - Merchandise,COGS,-6855.87
2024-10-17,5100,COGS - Shipping,COGS,-766.99
2024-10-17,5200,COGS - Platform Fees,COGS,-871.66
2024-10-18,4000,Revenue,Revenue,13309.92
2024-10-18,5000,COGS - Merchandise,COGS,-7271.55
2024-10-18,5100,COGS - Shipping,COGS,-791.32
2024-10-18,5200,COGS - Platform Fees,COGS,-775.21
2024-10-19,4000,Revenue,Revenue,11631.15
2024-10-19,5000,COGS - Merchandise,COGS,-6360.8
2024-10-19,5100,COGS - Shipping,COGS,-685.17
2024-10-19,5200,COGS - Platform Fees,COGS,-720.71
2024-10-20,5200,COGS - Platform Fees,COGS,-1034.48
2024-10-20,5100,COGS - Shipping,COGS,-890.29
2024-10-20,5000,COGS - Merchandise,COGS,-8616.4
2024-10-20,4000,Revenue,Revenue,15800.19
2024-10-21,4000,Revenue,Revenue,10961.86
2024-10-21,5000,COGS - Merchandise,COGS,-5750.19
2024-10-21,5100,COGS - Shipping,COGS,-674.99
2024-10-21,5200,COGS - Platform Fees,COGS,-755.61
2024-10-22,4000,Revenue,Revenue,12302.72
2024-10-22,5000,COGS - Merchandise,COGS,-6611.09
2024-10-22,5100,COGS - Shipping,COGS,-738.34
2024-10-22,5200,COGS - Platform Fees,COGS,-827.29
2024-10-23,4000,Revenue,Revenue,13472.73
2024-10-23,5000,COGS - Merchandise,COGS,-7445.87
2024-10-23,5100,COGS - Shipping,COGS,-738.15
2024-10-23,5200,COGS - Platform Fees,COGS,-925.63
2024-10-24,5200,COGS - Platform Fees,COGS,-749.74
2024-10-24,5100,COGS - Shipping,COGS,-633.38
2024-10-24,5000,COGS - Merchandise,COGS,-5876.65
2024-10-24,4000,Revenue,Revenue,10786.16
2024-10-25,4000,Revenue,Revenue,10528.58
2024-10-25,5000,COGS - Merchandise,COGS,-5613.29
2024-10-25,5100,COGS - Shipping,COGS,-680.53
2024-10-25,5200,COGS - Platform Fees,COGS,-747.27
2024-10-26,4000,Revenue,Revenue,14517.0
2024-10-26,5000,COGS - Merchandise,COGS,-7702.05
2024-10-26,5100,COGS - Shipping,COGS,-925.32
2024-10-26,5200,COGS - Platform Fees,COGS,-1000.41
2024-10-27,5200,COGS - Platform Fees,COGS,-740.66
2024-10-27,4000,Revenue,Revenue,12123.93
2024-10-27,5000,COGS - Merchandise,COGS,-6664.64
2024-10-27,5100,COGS - Shipping,COGS,-715.72
2024-10-28,5200,COGS - Platform Fees,COGS,-760.22
2024-10-28,5100,COGS - Shipping,COGS,-668.53
2024-10-28,4000,Revenue,Revenue,11463.02
2024-10-28,5000,COGS - Merchandise,COGS,-6208.96
2024-10-29,4000,Revenue,Revenue,12218.61
2024-10-29,5000,COGS - Merchandise,COGS,-6615.05
2024-10-29,5100,COGS - Shipping,COGS,-757.54
2024-10-29,5200,COGS - Platform Fees,COGS,-772.27
2024-10-30,5100,COGS - Shipping,COGS,-724.46
2024-10-30,4000,Revenue,Revenue,12882.7
2024-10-30,5000,COGS - Merchandise,COGS,-7064.75
2024-10-30,5200,COGS - Platform Fees,COGS,-790.97
2024-10-31,6400,OPEX - Logistics Overhead,OPEX,-1897.51
2024-10-31,6350,OPEX - Tools & SaaS,OPEX,-827.63
2024-10-31,8000,Taxes - Income/Turnover,Taxes,-29836.56
2024-10-31,6200,OPEX - Rent,OPEX,-6220.63
2024-10-31,6300,OPEX - Utilities,OPEX,-1363.73
2024-10-31,6100,OPEX - Salaries,OPEX,-37980.71
2024-10-31,6000,OPEX - Advertising,OPEX,-24782.04
2024-10-31,5200,COGS - Platform Fees,COGS,-636.72
2024-10-31,5100,COGS - Shipping,COGS,-722.2
2024-10-31,5000,COGS - Merchandise,COGS,-5966.03
2024-10-31,4000,Revenue,Revenue,11011.57
2024-11-01,5200,COGS - Platform Fees,COGS,-1098.84
2024-11-01,4000,Revenue,Revenue,17973.56
2024-11-01,5000,COGS - Merchandise,COGS,-9873.74
2024-11-01,5100,COGS - Shipping,COGS,-1032.84
2024-11-02,5200,COGS - Platform Fees,COGS,-883.73
2024-11-02,5100,COGS - Shipping,COGS,-857.05
2024-11-02,5000,COGS - Merchandise,COGS,-8438.46
2024-11-02,4000,Revenue,Revenue,15204.01
2024-11-03,5200,COGS - Platform Fees,COGS,-1048.37
2024-11-03,5100,COGS - Shipping,COGS,-1051.92
2024-11-03,4000,Revenue,Revenue,17682.37
2024-11-03,5000,COGS - Merchandise,COGS,-9617.95
2024-11-04,5200,COGS - Platform Fees,COGS,-867.33
2024-11-04,5100,COGS - Shipping,COGS,-799.22
2024-11-04,5000,COGS - Merchandise,COGS,-8235.95
2024-11-04,4000,Revenue,Revenue,14576.31
2024-11-05,5200,COGS - Platform Fees,COGS,-907.15
2024-11-05,5000,COGS - Merchandise,COGS,-8259.95
2024-11-05,4000,Revenue,Revenue,14905.89
2024-11-05,5100,COGS - Shipping,COGS,-811.36
2024-11-06,5200,COGS - Platform Fees,COGS,-1262.66
2024-11-06,5100,COGS - Shipping,COGS,-1081.42
2024-11-06,5000,COGS - Merchandise,COGS,-10130.17
2024-11-06,4000,Revenue,Revenue,18785.24
2024-11-07,5200,COGS - Platform Fees,COGS,-941.88
2024-11-07,5000,COGS - Merchandise,COGS,-8364.4
2024-11-07,4000,Revenue,Revenue,15553.18
2024-11-07,5100,COGS - Shipping,COGS,-945.74
2024-11-08,4000,Revenue,Revenue,15752.86
2024-11-08,5000,COGS - Merchandise,COGS,-8595.73
2024-11-08,5100,COGS - Shipping,COGS,-926.33
2024-11-08,5200,COGS - Platform Fees,COGS,-1226.2
2024-11-09,5200,COGS - Platform Fees,COGS,-841.73
2024-11-09,5000,COGS - Merchandise,COGS,-7050.82
2024-11-09,4000,Revenue,Revenue,13298.88
2024-11-09,5100,COGS - Shipping,COGS,-816.59
2024-11-10,4000,Revenue,Revenue,17780.81
2024-11-10,5000,COGS - Merchandise,COGS,-9455.5
2024-11-10,5100,COGS - Shipping,COGS,-1030.73
2024-11-10,5200,COGS - Platform Fees,COGS,-1023.08
2024-11-11,5100,COGS - Shipping,COGS,-843.63
2024-11-11,5200,COGS - Platform Fees,COGS,-1007.54
2024-11-11,5000,COGS - Merchandise,COGS,-8151.01
2024-11-11,4000,Revenue,Revenue,14895.93
2024-11-12,5000,COGS - Merchandise,COGS,-5066.09
2024-11-12,4000,Revenue,Revenue,9459.49
2024-11-12,5200,COGS - Platform Fees,COGS,-637.89
2024-11-12,5100,COGS - Shipping,COGS,-577.4
2024-11-13,4000,Revenue,Revenue,14110.17
2024-11-13,5000,COGS - Merchandise,COGS,-7606.43
2024-11-13,5100,COGS - Shipping,COGS,-837.57
2024-11-13,5200,COGS - Platform Fees,COGS,-907.71
2024-11-14,5100,COGS - Shipping,COGS,-833.58
2024-11-14,4000,Revenue,Revenue,12341.47
2024-11-14,5000,COGS - Merchandise,COGS,-6536.07
2024-11-14,5200,COGS - Platform Fees,COGS,-696.66
2024-11-15,5100,COGS - Shipping,COGS,-1032.06
2024-11-15,4000,Revenue,Revenue,16127.22
2024-11-15,5000,COGS - Merchandise,COGS,-8502.58
2024-11-15,5200,COGS - Platform Fees,COGS,-942.36
2024-11-16,4000,Revenue,Revenue,16250.57
2024-11-16,5000,COGS - Merchandise,COGS,-8986.14
2024-11-16,5100,COGS - Shipping,COGS,-930.97
2024-11-16,5200,COGS - Platform Fees,COGS,-1007.23
2024-11-17,5100,COGS - Shipping,COGS,-800.87
2024-11-17,4000,Revenue,Revenue,15081.57
2024-11-17,5000,COGS - Merchandise,COGS,-8502.69
2024-11-17,5200,COGS - Platform Fees,COGS,-960.42
2024-11-18,4000,Revenue,Revenue,12556.09
2024-11-18,5000,COGS - Merchandise,COGS,-6635.28
2024-11-18,5100,COGS - Shipping,COGS,-875.56
2024-11-18,5200,COGS - Platform Fees,COGS,-807.78
2024-11-19,5200,COGS - Platform Fees,COGS,-946.38
2024-11-19,5100,COGS - Shipping,COGS,-909.28
2024-11-19,5000,COGS - Merchandise,COGS,-7589.79
2024-11-19,4000,Revenue,Revenue,14247.83
2024-11-20,5000,COGS - Merchandise,COGS,-9415.9
2024-11-20,4000,Revenue,Revenue,16878.25
2024-11-20,5100,COGS - Shipping,COGS,-977.13
2024-11-20,5200,COGS - Platform Fees,COGS,-1179.77
2024-11-21,4000,Revenue,Revenue,17801.61
2024-11-21,5000,COGS - Merchandise,COGS,-10176.38
2024-11-21,5100,COGS - Shipping,COGS,-929.06
2024-11-21,5200,COGS - Platform Fees,COGS,-1196.58
2024-11-22,5100,COGS - Shipping,COGS,-675.55
2024-11-22,4000,Revenue,Revenue,10355.82
2024-11-22,5000,COGS - Merchandise,COGS,-5443.44
2024-11-22,5200,COGS - Platform Fees,COGS,-710.01
2024-11-23,5100,COGS - Shipping,COGS,-961.96
2024-11-23,4000,Revenue,Revenue,16919.85
2024-11-23,5000,COGS - Merchandise,COGS,-9270.34
2024-11-23,5200,COGS - Platform Fees,COGS,-984.94
2024-11-24,4000,Revenue,Revenue,12471.94
2024-11-24,5200,COGS - Platform Fees,COGS,-863.28
2024-11-24,5100,COGS - Shipping,COGS,-778.47
2024-11-24,5000,COGS - Merchandise,COGS,-6630.04
2024-11-25,4000,Revenue,Revenue,9218.56
2024-11-25,5200,COGS - Platform Fees,COGS,-599.87
2024-11-25,5000,COGS - Merchandise,COGS,-4526.58
2024-11-25,5100,COGS - Shipping,COGS,-634.76
2024-11-26,4000,Revenue,Revenue,15510.89
2024-11-26,5000,COGS - Merchandise,COGS,-8052.75
2024-11-26,5100,COGS - Shipping,COGS,-977.87
2024-11-26,5200,COGS - Platform Fees,COGS,-1078.73
2024-11-27,5100,COGS - Shipping,COGS,-917.65
2024-11-27,4000,Revenue,Revenue,14866.28
2024-11-27,5200,COGS - Platform Fees,COGS,-949.23
2024-11-27,5000,COGS - Merchandise,COGS,-7684.26
2024-11-28,4000,Revenue,Revenue,18195.92
2024-11-28,5000,COGS - Merchandise,COGS,-9967.16
2024-11-28,5100,COGS - Shipping,COGS,-1056.43
2024-11-28,5200,COGS - Platform Fees,COGS,-1166.51
2024-11-29,5000,COGS - Merchandise,COGS,-8579.05
2024-11-29,5200,COGS - Platform Fees,COGS,-978.09
2024-11-29,5100,COGS - Shipping,COGS,-832.09
2024-11-29,4000,Revenue,Revenue,15450.29
2024-11-30,6200,OPEX - Rent,OPEX,-6528.03
2024-11-30,6100,OPEX - Salaries,OPEX,-38080.27
2024-11-30,6400,OPEX - Logistics Overhead,OPEX,-1965.08
2024-11-30,6300,OPEX - Utilities,OPEX,-1073.94
2024-11-30,6350,OPEX - Tools & SaaS,OPEX,-1040.88
2024-11-30,5100,COGS - Shipping,COGS,-861.68
2024-11-30,5200,COGS - Platform Fees,COGS,-1101.24
2024-11-30,5000,COGS - Merchandise,COGS,-8086.18
2024-11-30,4000,Revenue,Revenue,15049.21
2024-11-30,6000,OPEX - Advertising,OPEX,-32560.22
2024-11-30,8000,Taxes - Income/Turnover,Taxes,-34376.2
2024-12-01,5200,COGS - Platform Fees,COGS,-1172.8
2024-12-01,5100,COGS - Shipping,COGS,-1049.99
2024-12-01,5000,COGS - Merchandise,COGS,-10281.13
2024-12-01,4000,Revenue,Revenue,19056.61
2024-12-02,5100,COGS - Shipping,COGS,-937.73
2024-12-02,4000,Revenue,Revenue,16515.28
2024-12-02,5000,COGS - Merchandise,COGS,-8856.24
2024-12-02,5200,COGS - Platform Fees,COGS,-1029.36
2024-12-03,5100,COGS - Shipping,COGS,-1009.84
2024-12-03,4000,Revenue,Revenue,17565.95
2024-12-03,5000,COGS - Merchandise,COGS,-9515.45
2024-12-03,5200,COGS - Platform Fees,COGS,-1124.66
2024-12-04,4000,Revenue,Revenue,14791.32
2024-12-04,5000,COGS - Merchandise,COGS,-7959.46
2024-12-04,5100,COGS - Shipping,COGS,-889.93
2024-12-04,5200,COGS - Platform Fees,COGS,-1004.02
2024-12-05,5100,COGS - Shipping,COGS,-768.34
2024-12-05,5000,COGS - Merchandise,COGS,-7863.95
2024-12-05,4000,Revenue,Revenue,14155.78
2024-12-05,5200,COGS - Platform Fees,COGS,-977.76
2024-12-06,5200,COGS - Platform Fees,COGS,-1027.18
2024-12-06,5100,COGS - Shipping,COGS,-952.27
2024-12-06,5000,COGS - Merchandise,COGS,-8484.24
2024-12-06,4000,Revenue,Revenue,15754.07
2024-12-07,5200,COGS - Platform Fees,COGS,-1116.73
2024-12-07,5100,COGS - Shipping,COGS,-1051.32
2024-12-07,5000,COGS - Merchandise,COGS,-9838.02
2024-12-07,4000,Revenue,Revenue,18111.96
2024-12-08,5200,COGS - Platform Fees,COGS,-987.13
2024-12-08,4000,Revenue,Revenue,14919.5
2024-12-08,5000,COGS - Merchandise,COGS,-7932.63
2024-12-08,5100,COGS - Shipping,COGS,-971.09
2024-12-09,5200,COGS - Platform Fees,COGS,-774.14
2024-12-09,4000,Revenue,Revenue,11573.34
2024-12-09,5000,COGS - Merchandise,COGS,-6049.19
2024-12-09,5100,COGS - Shipping,COGS,-768.67
2024-12-10,4000,Revenue,Revenue,16493.46
2024-12-10,5000,COGS - Merchandise,COGS,-9082.92
2024-12-10,5100,COGS - Shipping,COGS,-962.4
2024-12-10,5200,COGS - Platform Fees,COGS,-1017.45
2024-12-11,4000,Revenue,Revenue,12205.84
2024-12-11,5000,COGS - Merchandise,COGS,-6744.46
2024-12-11,5100,COGS - Shipping,COGS,-686.95
2024-12-11,5200,COGS - Platform Fees,COGS,-782.18
2024-12-12,5200,COGS - Platform Fees,COGS,-1079.7
2024-12-12,5100,COGS - Shipping,COGS,-937.67
2024-12-12,5000,COGS - Merchandise,COGS,-9417.65
2024-12-12,4000,Revenue,Revenue,17116.71
2024-12-13,5200,COGS - Platform Fees,COGS,-1091.62
2024-12-13,5100,COGS - Shipping,COGS,-1008.82
2024-12-13,5000,COGS - Merchandise,COGS,-9130.92
2024-12-13,4000,Revenue,Revenue,16938.23
2024-12-14,5200,COGS - Platform Fees,COGS,-678.26
2024-12-14,5000,COGS - Merchandise,COGS,-5867.36
2024-12-14,4000,Revenue,Revenue,11073.49
2024-12-14,5100,COGS - Shipping,COGS,-720.91
2024-12-15,5000,COGS - Merchandise,COGS,-9774.33
2024-12-15,4000,Revenue,Revenue,18150.5
2024-12-15,5100,COGS - Shipping,COGS,-1055.53
2024-12-15,5200,COGS - Platform Fees,COGS,-1191.89
2024-12-16,5200,COGS - Platform Fees,COGS,-1008.49
2024-12-16,5100,COGS - Shipping,COGS,-896.61
2024-12-16,5000,COGS - Merchandise,COGS,-9033.99
2024-12-16,4000,Revenue,Revenue,16072.15
2024-12-17,5200,COGS - Platform Fees,COGS,-761.55
2024-12-17,5100,COGS - Shipping,COGS,-787.25
2024-12-17,5000,COGS - Merchandise,COGS,-6153.65
2024-12-17,4000,Revenue,Revenue,12125.84
2024-12-18,5100,COGS - Shipping,COGS,-959.33
2024-12-18,4000,Revenue,Revenue,18362.83
2024-12-18,5200,COGS - Platform Fees,COGS,-1182.26
2024-12-18,5000,COGS - Merchandise,COGS,-10413.17
2024-12-19,4000,Revenue,Revenue,14643.37
2024-12-19,5000,COGS - Merchandise,COGS,-7784.85
2024-12-19,5200,COGS - Platform Fees,COGS,-964.99
2024-12-19,5100,COGS - Shipping,COGS,-947.49
2024-12-20,5200,COGS - Platform Fees,COGS,-942.19
2024-12-20,5100,COGS - Shipping,COGS,-886.11
2024-12-20,5000,COGS - Merchandise,COGS,-9107.15
2024-12-20,4000,Revenue,Revenue,16243.61
2024-12-21,5200,COGS - Platform Fees,COGS,-1089.15
2024-12-21,5100,COGS - Shipping,COGS,-971.68
2024-12-21,5000,COGS - Merchandise,COGS,-9512.87
2024-12-21,4000,Revenue,Revenue,17472.0
2024-12-22,5000,COGS - Merchandise,COGS,-5668.5
2024-12-22,4000,Revenue,Revenue,11175.29
2024-12-22,5100,COGS - Shipping,COGS,-765.46
2024-12-22,5200,COGS - Platform Fees,COGS,-786.13
2024-12-23,5000,COGS - Merchandise,COGS,-10037.28
2024-12-23,4000,Revenue,Revenue,17469.22
2024-12-23,5100,COGS - Shipping,COGS,-861.14
2024-12-23,5200,COGS - Platform Fees,COGS,-1080.5
2024-12-24,4000,Revenue,Revenue,15171.8
2024-12-24,5000,COGS - Merchandise,COGS,-8467.48
2024-12-24,5100,COGS - Shipping,COGS,-813.45
2024-12-24,5200,COGS - Platform Fees,COGS,-989.71
2024-12-25,4000,Revenue,Revenue,18470.68
2024-12-25,5000,COGS - Merchandise,COGS,-10230.77
2024-12-25,5200,COGS - Platform Fees,COGS,-1106.7
2024-12-25,5100,COGS - Shipping,COGS,-1066.55
2024-12-26,5100,COGS - Shipping,COGS,-872.25
2024-12-26,4000,Revenue,Revenue,15206.1
2024-12-26,5000,COGS - Merchandise,COGS,-8381.65
2024-12-26,5200,COGS - Platform Fees,COGS,-867.68
2024-12-27,5200,COGS - Platform Fees,COGS,-1072.07
2024-12-27,5100,COGS - Shipping,COGS,-878.73
2024-12-27,5000,COGS - Merchandise,COGS,-9648.51
2024-12-27,4000,Revenue,Revenue,17190.21
2024-12-28,5200,COGS - Platform Fees,COGS,-1028.24
2024-12-28,4000,Revenue,Revenue,16360.69
2024-12-28,5000,COGS - Merchandise,COGS,-8933.38
2024-12-28,5100,COGS - Shipping,COGS,-932.26
2024-12-29,5200,COGS - Platform Fees,COGS,-1164.8
2024-12-29,5100,COGS - Shipping,COGS,-1092.47
2024-12-29,5000,COGS - Merchandise,COGS,-10738.22
2024-12-29,4000,Revenue,Revenue,19264.96
2024-12-30,5200,COGS - Platform Fees,COGS,-933.45
2024-12-30,5100,COGS - Shipping,COGS,-773.61
2024-12-30,5000,COGS - Merchandise,COGS,-7901.23
2024-12-30,4000,Revenue,Revenue,14050.23
2024-12-31,4000,Revenue,Revenue,15372.52
2024-12-31,8000,Taxes - Income/Turnover,Taxes,-35500.27
2024-12-31,6000,OPEX - Advertising,OPEX,-47723.78
2024-12-31,6100,OPEX - Salaries,OPEX,-39579.31
2024-12-31,6200,OPEX - Rent,OPEX,-6558.74
2024-12-31,6300,OPEX - Utilities,OPEX,-1368.75
2024-12-31,6350,OPEX - Tools & SaaS,OPEX,-776.55
2024-12-31,6400,OPEX - Logistics Overhead,OPEX,-1617.59
2024-12-31,5000,COGS - Merchandise,COGS,-8255.44
2024-12-31,5100,COGS - Shipping,COGS,-913.96
2024-12-31,5200,COGS - Platform Fees,COGS,-942.74
2025-01-01,4000,Revenue,Revenue,10019.62
2025-01-01,5000,COGS - Merchandise,COGS,-5496.26
2025-01-01,5100,COGS - Shipping,COGS,-588.91
2025-01-01,5200,COGS - Platform Fees,COGS,-623.31
2025-01-02,5200,COGS - Platform Fees,COGS,-891.64
2025-01-02,4000,Revenue,Revenue,13300.68
2025-01-02,5000,COGS - Merchandise,COGS,-7176.32
2025-01-02,5100,COGS - Shipping,COGS,-816.21
2025-01-03,4000,Revenue,Revenue,11011.07
2025-01-03,5000,COGS - Merchandise,COGS,-5976.9
2025-01-03,5100,COGS - Shipping,COGS,-646.69
2025-01-03,5200,COGS - Platform Fees,COGS,-801.36
2025-01-04,5000,COGS - Merchandise,COGS,-6842.89
2025-01-04,4000,Revenue,Revenue,12161.05
2025-01-04,5100,COGS - Shipping,COGS,-644.08
2025-01-04,5200,COGS - Platform Fees,COGS,-751.76
2025-01-05,5100,COGS - Shipping,COGS,-818.14
2025-01-05,5000,COGS - Merchandise,COGS,-7200.52
2025-01-05,5200,COGS - Platform Fees,COGS,-797.03
2025-01-05,4000,Revenue,Revenue,13354.11
2025-01-06,5000,COGS - Merchandise,COGS,-6454.55
2025-01-06,5200,COGS - Platform Fees,COGS,-768.62
2025-01-06,5100,COGS - Shipping,COGS,-674.88
2025-01-06,4000,Revenue,Revenue,11830.43
2025-01-07,5100,COGS - Shipping,COGS,-571.84
2025-01-07,5000,COGS - Merchandise,COGS,-5395.49
2025-01-07,4000,Revenue,Revenue,9957.17
2025-01-07,5200,COGS - Platform Fees,COGS,-684.67
2025-01-08,5200,COGS - Platform Fees,COGS,-709.85
2025-01-08,5100,COGS - Shipping,COGS,-684.51
2025-01-08,5000,COGS - Merchandise,COGS,-7007.12
2025-01-08,4000,Revenue,Revenue,12562.16
2025-01-09,5200,COGS - Platform Fees,COGS,-860.49
2025-01-09,5100,COGS - Shipping,COGS,-827.28
2025-01-09,5000,COGS - Merchandise,COGS,-7555.87
2025-01-09,4000,Revenue,Revenue,14078.72
2025-01-10,4000,Revenue,Revenue,10415.71
2025-01-10,5000,COGS - Merchandise,COGS,-5747.97
2025-01-10,5100,COGS - Shipping,COGS,-593.66
2025-01-10,5200,COGS - Platform Fees,COGS,-683.01
2025-01-11,4000,Revenue,Revenue,13732.3
2025-01-11,5200,COGS - Platform Fees,COGS,-851.26
2025-01-11,5100,COGS - Shipping,COGS,-817.11
2025-01-11,5000,COGS - Merchandise,COGS,-7465.26
2025-01-12,5000,COGS - Merchandise,COGS,-8417.99
2025-01-12,5200,COGS - Platform Fees,COGS,-957.99
2025-01-12,5100,COGS - Shipping,COGS,-790.48
2025-01-12,4000,Revenue,Revenue,15235.2
2025-01-13,5200,COGS - Platform Fees,COGS,-771.41
2025-01-13,5100,COGS - Shipping,COGS,-686.26
2025-01-13,5000,COGS - Merchandise,COGS,-6354.88
2025-01-13,4000,Revenue,Revenue,11832.24
2025-01-14,5200,COGS - Platform Fees,COGS,-627.06
2025-01-14,4000,Revenue,Revenue,8454.51
2025-01-14,5000,COGS - Merchandise,COGS,-4598.95
2025-01-14,5100,COGS - Shipping,COGS,-542.32
2025-01-15,4000,Revenue,Revenue,7598.59
2025-01-15,5100,COGS - Shipping,COGS,-529.53
2025-01-15,5000,COGS - Merchandise,COGS,-3946.88
2025-01-15,5200,COGS - Platform Fees,COGS,-463.77
2025-01-16,4000,Revenue,Revenue,10186.42
2025-01-16,5000,COGS - Merchandise,COGS,-5420.21
2025-01-16,5100,COGS - Shipping,COGS,-610.7
2025-01-16,5200,COGS - Platform Fees,COGS,-668.61
2025-01-17,5200,COGS - Platform Fees,COGS,-617.7
2025-01-17,5000,COGS - Merchandise,COGS,-5485.42
2025-01-17,5100,COGS - Shipping,COGS,-585.15
2025-01-17,4000,Revenue,Revenue,9909.04
2025-01-18,4000,Revenue,Revenue,10063.31
2025-01-18,5000,COGS - Merchandise,COGS,-5286.31
2025-01-18,5100,COGS - Shipping,COGS,-656.68
2025-01-18,5200,COGS - Platform Fees,COGS,-663.26
2025-01-19,4000,Revenue,Revenue,13614.95
2025-01-19,5200,COGS - Platform Fees,COGS,-887.05
2025-01-19,5100,COGS - Shipping,COGS,-801.29
2025-01-19,5000,COGS - Merchandise,COGS,-7322.21
2025-01-20,5000,COGS - Merchandise,COGS,-5000.8
2025-01-20,5100,COGS - Shipping,COGS,-610.18
2025-01-20,4000,Revenue,Revenue,9462.16
2025-01-20,5200,COGS - Platform Fees,COGS,-528.3
2025-01-21,4000,Revenue,Revenue,10414.23
2025-01-21,5000,COGS - Merchandise,COGS,-5599.09
2025-01-21,5100,COGS - Shipping,COGS,-621.68
2025-01-21,5200,COGS - Platform Fees,COGS,-615.93
2025-01-22,4000,Revenue,Revenue,7918.36
2025-01-22,5000,COGS - Merchandise,COGS,-4344.91
2025-01-22,5100,COGS - Shipping,COGS,-494.02
2025-01-22,5200,COGS - Platform Fees,COGS,-498.53
2025-01-23,4000,Revenue,Revenue,11931.65
2025-01-23,5000,COGS - Merchandise,COGS,-6469.17
2025-01-23,5200,COGS - Platform Fees,COGS,-852.23
2025-01-23,5100,COGS - Shipping,COGS,-705.99
2025-01-24,4000,Revenue,Revenue,10163.69
2025-01-24,5000,COGS - Merchandise,COGS,-5448.84
2025-01-24,5100,COGS - Shipping,COGS,-605.73
2025-01-24,5200,COGS - Platform Fees,COGS,-617.39
2025-01-25,5200,COGS - Platform Fees,COGS,-654.45
2025-01-25,4000,Revenue,Revenue,9788.97
2025-01-25,5000,COGS - Merchandise,COGS,-5325.72
2025-01-25,5100,COGS - Shipping,COGS,-638.11
