Date,Type,Category,Amount,EndingCash
2024-11-07,Inflow,Sales Payout T+7,8299.88,106201.89000000001
2024-11-08,Inflow,Sales Payout T+1,2922.26,63024.45000000001
2024-11-08,Inflow,Sales Payout T+7,13499.78,63024.45000000001
2024-11-08,Outflow,Suppliers (COGS+Shipping),-59599.48,63024.45000000001
2024-11-09,Inflow,Sales Payout T+1,2905.33,77386.00000000001
2024-11-09,Inflow,Sales Payout T+7,11456.22,77386.00000000001
2024-11-10,Inflow,Sales Payout T+1,2491.43,92143.75000000001
2024-11-10,Inflow,Sales Payout T+7,13307.2,92143.75000000001
2024-11-10,Outflow,OPEX - Tools & SaaS,-1040.88,92143.75000000001
2024-11-11,Inflow,Sales Payout T+1,3351.55,106462.48000000001
2024-11-11,Inflow,Sales Payout T+7,10967.18,106462.48000000001
2024-11-12,Inflow,Sales Payout T+7,11198.99,120439.15000000001
2024-11-12,Inflow,Sales Payout T+1,2777.68,120439.15000000001
2024-11-13,Inflow,Sales Payout T+1,1764.32,136221.53000000003
2024-11-13,Inflow,Sales Payout T+7,14018.06,136221.53000000003
2024-11-14,Inflow,Sales Payout T+1,2640.49,150551.06
2024-11-14,Inflow,Sales Payout T+7,11689.04,150551.06
2024-11-15,Inflow,Sales Payout T+1,2328.96,51880.770000000004
2024-11-15,Inflow,Sales Payout T+7,11621.33,51880.770000000004
2024-11-15,Outflow,Advertising,-16280.11,51880.770000000004
2024-11-15,Outflow,Suppliers (COGS+Shipping),-66503.91,51880.770000000004
2024-11-15,Outflow,Taxes,-29836.56,51880.770000000004
2024-11-16,Inflow,Sales Payout T+1,3036.97,64883.46000000001
2024-11-16,Inflow,Sales Payout T+7,9965.72,64883.46000000001
2024-11-17,Inflow,Sales Payout T+1,3048.67,81338.31
2024-11-17,Inflow,Sales Payout T+7,13406.18,81338.31
2024-11-18,Inflow,Sales Payout T+7,11110.71,95273.25
2024-11-18,Inflow,Sales Payout T+1,2824.23,95273.25
2024-11-19,Inflow,Sales Payout T+1,2349.66,104680.19
2024-11-19,Inflow,Sales Payout T+7,7057.28,104680.19
2024-11-20,Inflow,Sales Payout T+1,2660.29,116828.51000000001
2024-11-20,Inflow,Sales Payout T+7,10561.97,116828.51000000001
2024-11-20,Outflow,OPEX - Utilities,-1073.94,116828.51000000001
2024-11-21,Inflow,Sales Payout T+1,3139.7,129284.06000000001
2024-11-21,Inflow,Sales Payout T+7,9315.85,129284.06000000001
2024-11-22,Inflow,Sales Payout T+1,3321.01,85545.87000000002
2024-11-22,Inflow,Sales Payout T+7,12147.89,85545.87000000002
2024-11-22,Outflow,Suppliers (COGS+Shipping),-59207.09,85545.87000000002
2024-11-23,Inflow,Sales Payout T+1,1929.16,99669.70000000001
2024-11-23,Inflow,Sales Payout T+7,12194.67,99669.70000000001
2024-11-24,Inflow,Sales Payout T+7,11296.92,114153.60000000002
2024-11-24,Inflow,Sales Payout T+1,3186.98,114153.60000000002
2024-11-25,Inflow,Sales Payout T+1,2321.73,123908.90000000002
2024-11-25,Inflow,Sales Payout T+7,9398.65,123908.90000000002
2024-11-25,Outflow,OPEX - Logistics Overhead,-1965.08,123908.90000000002
2024-11-26,Inflow,Sales Payout T+1,1723.74,136273.80000000002
2024-11-26,Inflow,Sales Payout T+7,10641.16,136273.80000000002
2024-11-27,Inflow,Sales Payout T+1,2886.43,151719.01
2024-11-27,Inflow,Sales Payout T+7,12558.78,151719.01
2024-11-28,Inflow,Sales Payout T+1,2783.41,167786.44000000003
2024-11-28,Inflow,Sales Payout T+7,13284.02,167786.44000000003
2024-11-29,Inflow,Sales Payout T+1,3405.88,117640.79000000004
2024-11-29,Inflow,Sales Payout T+7,7716.65,117640.79000000004
2024-11-29,Outflow,Suppliers (COGS+Shipping),-61268.18,117640.79000000004
2024-11-30,Outflow,Advertising,-16280.11,117003.05000000003
2024-11-30,Inflow,Sales Payout T+1,2894.44,117003.05000000003
2024-11-30,Inflow,Sales Payout T+7,12747.93,117003.05000000003
2024-12-01,Inflow,Sales Payout T+1,2789.59,82941.52000000003
2024-12-01,Inflow,Sales Payout T+7,9286.93,82941.52000000003
2024-12-01,Outflow,OPEX - Rent,-6558.74,82941.52000000003
2024-12-01,Outflow,OPEX - Salaries,-39579.31,82941.52000000003
2024-12-02,Inflow,Sales Payout T+1,3576.76,93413.23000000004
2024-12-02,Inflow,Sales Payout T+7,6894.95,93413.23000000004
2024-12-03,Inflow,Sales Payout T+1,3097.18,108056.14000000003
2024-12-03,Inflow,Sales Payout T+7,11545.73,108056.14000000003
2024-12-04,Inflow,Sales Payout T+7,11133.64,122478.04000000002
2024-12-04,Inflow,Sales Payout T+1,3288.26,122478.04000000002
2024-12-05,Inflow,Sales Payout T+7,13623.53,138859.03000000003
2024-12-05,Inflow,Sales Payout T+1,2757.46,138859.03000000003
2024-12-06,Inflow,Sales Payout T+1,2635.6,89564.81000000003
2024-12-06,Inflow,Sales Payout T+7,11577.76,89564.81000000003
2024-12-06,Outflow,Suppliers (COGS+Shipping),-63507.58,89564.81000000003
2024-12-07,Inflow,Sales Payout T+1,2945.38,103668.57000000002
2024-12-07,Inflow,Sales Payout T+7,11158.38,103668.57000000002
2024-12-08,Inflow,Sales Payout T+1,3399.05,121374.67000000001
2024-12-08,Inflow,Sales Payout T+7,14307.05,121374.67000000001
2024-12-09,Inflow,Sales Payout T+1,2786.47,136549.88
2024-12-09,Inflow,Sales Payout T+7,12388.74,136549.88
2024-12-10,Outflow,OPEX - Tools & SaaS,-776.55,151086.2
2024-12-10,Inflow,Sales Payout T+1,2159.84,151086.2
2024-12-10,Inflow,Sales Payout T+7,13153.03,151086.2
2024-12-11,Inflow,Sales Payout T+7,11029.84,165211.24000000002
2024-12-11,Inflow,Sales Payout T+1,3095.2,165211.24000000002
2024-12-12,Inflow,Sales Payout T+1,2284.73,178038.39
2024-12-12,Inflow,Sales Payout T+7,10542.42,178038.39
2024-12-13,Inflow,Sales Payout T+1,3207.4,125996.79000000002
2024-12-13,Inflow,Sales Payout T+7,11781.51,125996.79000000002
2024-12-13,Outflow,Suppliers (COGS+Shipping),-67030.51,125996.79000000002
2024-12-14,Inflow,Sales Payout T+1,3169.32,142762.29000000004
2024-12-14,Inflow,Sales Payout T+7,13596.18,142762.29000000004
2024-12-15,Inflow,Sales Payout T+1,2079.05,97749.15000000002
2024-12-15,Inflow,Sales Payout T+7,11145.9,97749.15000000002
2024-12-15,Outflow,Advertising,-23861.89,97749.15000000002
2024-12-15,Outflow,Taxes,-34376.2,97749.15000000002
2024-12-16,Inflow,Sales Payout T+7,8639.36,109780.23000000003
2024-12-16,Inflow,Sales Payout T+1,3391.72,109780.23000000003
2024-12-17,Inflow,Sales Payout T+1,3012.73,125173.77000000002
2024-12-17,Inflow,Sales Payout T+7,12380.81,125173.77000000002
2024-12-18,Inflow,Sales Payout T+1,2272.86,136585.56000000003
2024-12-18,Inflow,Sales Payout T+7,9138.93,136585.56000000003
2024-12-19,Inflow,Sales Payout T+1,3436.11,152851.28000000003
2024-12-19,Inflow,Sales Payout T+7,12829.61,152851.28000000003
2024-12-20,Inflow,Sales Payout T+1,2735.68,104687.72000000003
2024-12-20,Inflow,Sales Payout T+7,12677.29,104687.72000000003
2024-12-20,Outflow,OPEX - Utilities,-1368.75,104687.72000000003
2024-12-20,Outflow,Suppliers (COGS+Shipping),-62207.78,104687.72000000003
2024-12-21,Inflow,Sales Payout T+7,8316.18,116064.18000000004
2024-12-21,Inflow,Sales Payout T+1,3060.28,116064.18000000004
2024-12-22,Inflow,Sales Payout T+1,3276.57,132907.64000000004
2024-12-22,Inflow,Sales Payout T+7,13566.89,132907.64000000004
2024-12-23,Inflow,Sales Payout T+1,2077.83,147036.40000000002
2024-12-23,Inflow,Sales Payout T+7,12050.93,147036.40000000002
2024-12-24,Inflow,Sales Payout T+1,3277.74,159405.57000000004
2024-12-24,Inflow,Sales Payout T+7,9091.43,159405.57000000004
2024-12-25,Inflow,Sales Payout T+1,2836.42,174368.86000000004
2024-12-25,Inflow,Sales Payout T+7,13744.46,174368.86000000004
2024-12-25,Outflow,OPEX - Logistics Overhead,-1617.59,174368.86000000004
2024-12-26,Inflow,Sales Payout T+1,3472.8,188784.36000000004
2024-12-26,Inflow,Sales Payout T+7,10942.7,188784.36000000004
2024-12-27,Outflow,Suppliers (COGS+Shipping),-63888.11,140005.07000000004
2024-12-27,Inflow,Sales Payout T+1,2867.68,140005.07000000004
2024-12-27,Inflow,Sales Payout T+7,12241.14,140005.07000000004
2024-12-28,Inflow,Sales Payout T+1,3223.63,156334.98000000004
2024-12-28,Inflow,Sales Payout T+7,13106.28,156334.98000000004
2024-12-29,Inflow,Sales Payout T+1,3066.49,167712.80000000005
2024-12-29,Inflow,Sales Payout T+7,8311.33,167712.80000000005
2024-12-30,Inflow,Sales Payout T+7,13110.98,160581.92000000004
2024-12-30,Inflow,Sales Payout T+1,3620.03,160581.92000000004
2024-12-30,Outflow,Advertising,-23861.89,160581.92000000004
2024-12-31,Inflow,Sales Payout T+7,11345.67,174550.95000000004
2024-12-31,Inflow,Sales Payout T+1,2623.36,174550.95000000004
2025-01-01,Outflow,OPEX - Rent,-6433.21,147593.56000000006
2025-01-01,Outflow,OPEX - Salaries,-37301.32,147593.56000000006
2025-01-01,Inflow,Sales Payout T+1,2885.96,147593.56000000006
2025-01-01,Inflow,Sales Payout T+7,13891.18,147593.56000000006
2025-01-02,Inflow,Sales Payout T+7,11470.74,160943.56000000006
2025-01-02,Inflow,Sales Payout T+1,1879.26,160943.56000000006
2025-01-03,Inflow,Sales Payout T+1,2481.81,103365.74000000005
2025-01-03,Inflow,Sales Payout T+7,12894.51,103365.74000000005
2025-01-03,Outflow,Suppliers (COGS+Shipping),-72954.14,103365.74000000005
2025-01-04,Inflow,Sales Payout T+1,2041.94,117673.64000000004
2025-01-04,Inflow,Sales Payout T+7,12265.96,117673.64000000004
2025-01-05,Inflow,Sales Payout T+1,2281.86,134435.63000000003
2025-01-05,Inflow,Sales Payout T+7,14480.13,134435.63000000003
2025-01-06,Inflow,Sales Payout T+1,2511.42,147440.47000000003
2025-01-06,Inflow,Sales Payout T+7,10493.42,147440.47000000003
2025-01-07,Inflow,Sales Payout T+1,2212.36,161196.65000000002
2025-01-07,Inflow,Sales Payout T+7,11543.82,161196.65000000002
2025-01-08,Inflow,Sales Payout T+7,7517.05,170568.2
2025-01-08,Inflow,Sales Payout T+1,1854.5,170568.2
2025-01-09,Inflow,Sales Payout T+1,2370.46,182865.89
2025-01-09,Inflow,Sales Payout T+7,9927.23,182865.89
2025-01-10,Inflow,Sales Payout T+1,2643.65,138627.53000000003
2025-01-10,Inflow,Sales Payout T+7,8167.77,138627.53000000003
2025-01-10,Outflow,OPEX - Tools & SaaS,-998.62,138627.53000000003
2025-01-10,Outflow,Suppliers (COGS+Shipping),-54051.16,138627.53000000003
2025-01-11,Inflow,Sales Payout T+1,1946.54,149701.5
2025-01-11,Inflow,Sales Payout T+7,9127.43,149701.5
2025-01-12,Inflow,Sales Payout T+1,2576.21,162323.37
2025-01-12,Inflow,Sales Payout T+7,10045.66,162323.37
2025-01-13,Inflow,Sales Payout T+1,2855.44,174028.26
2025-01-13,Inflow,Sales Payout T+7,8849.45,174028.26
2025-01-14,Inflow,Sales Payout T+7,7418.0,183658.43000000002
2025-01-14,Inflow,Sales Payout T+1,2212.17,183658.43000000002
2025-01-15,Inflow,Sales Payout T+1,1565.49,148238.03000000003
2025-01-15,Inflow,Sales Payout T+7,9481.85,148238.03000000003
2025-01-15,Outflow,Advertising,-10967.47,148238.03000000003
2025-01-15,Outflow,Taxes,-35500.27,148238.03000000003
2025-01-16,Inflow,Sales Payout T+1,1426.96,160239.57000000004
2025-01-16,Inflow,Sales Payout T+7,10574.58,160239.57000000004
2025-01-17,Inflow,Sales Payout T+1,1903.56,116925.28000000003
2025-01-17,Inflow,Sales Payout T+7,7786.16,116925.28000000003
2025-01-17,Outflow,Suppliers (COGS+Shipping),-53004.01,116925.28000000003
2025-01-18,Inflow,Sales Payout T+7,10304.83,129088.38000000003
2025-01-18,Inflow,Sales Payout T+1,1858.27,129088.38000000003
2025-01-19,Inflow,Sales Payout T+7,11421.77,142390.16000000003
2025-01-19,Inflow,Sales Payout T+1,1880.01,142390.16000000003
2025-01-20,Inflow,Sales Payout T+1,2545.58,152675.86000000004
2025-01-20,Inflow,Sales Payout T+7,8848.66,152675.86000000004
2025-01-20,Outflow,OPEX - Utilities,-1108.54,152675.86000000004
2025-01-21,Inflow,Sales Payout T+1,1786.77,160724.59000000003
2025-01-21,Inflow,Sales Payout T+7,6261.96,160724.59000000003
2025-01-22,Inflow,Sales Payout T+1,1959.66,168392.11000000004
2025-01-22,Inflow,Sales Payout T+7,5707.86,168392.11000000004
2025-01-23,Inflow,Sales Payout T+7,7614.25,177490.33000000002
2025-01-23,Inflow,Sales Payout T+1,1483.97,177490.33000000002
2025-01-24,Inflow,Sales Payout T+7,7433.07,144312.49000000002
2025-01-24,Outflow,Suppliers (COGS+Shipping),-42826.79,144312.49000000002
2025-01-24,Inflow,Sales Payout T+1,2215.88,144312.49000000002
2025-01-25,Outflow,OPEX - Logistics Overhead,-1714.05,152027.74000000002
2025-01-25,Inflow,Sales Payout T+1,1909.26,152027.74000000002
2025-01-25,Inflow,Sales Payout T+7,7520.04,152027.74000000002
2025-01-26,Inflow,Sales Payout T+1,1826.9,164036.96000000002
2025-01-26,Inflow,Sales Payout T+7,10182.32,164036.96000000002
2025-01-27,Inflow,Sales Payout T+1,1995.43,173179.48000000004
2025-01-27,Inflow,Sales Payout T+7,7147.09,173179.48000000004
2025-01-28,Inflow,Sales Payout T+1,2334.4,183352.52000000002
2025-01-28,Inflow,Sales Payout T+7,7838.64,183352.52000000002
2025-01-29,Inflow,Sales Payout T+1,2484.82,191773.2
2025-01-29,Inflow,Sales Payout T+7,5935.86,191773.2
2025-01-30,Inflow,Sales Payout T+1,2712.06,192381.33000000002
2025-01-30,Inflow,Sales Payout T+7,8863.54,192381.33000000002
2025-01-30,Outflow,Advertising,-10967.47,192381.33000000002
2025-01-31,Outflow,Suppliers (COGS+Shipping),-42136.12,160213.93000000002
2025-01-31,Inflow,Sales Payout T+1,2331.68,160213.93000000002
2025-01-31,Inflow,Sales Payout T+7,7637.04,160213.93000000002
2025-02-01,Inflow,Sales Payout T+1,2316.2,125382.42000000001
2025-02-01,Inflow,Sales Payout T+7,7307.62,125382.42000000001
2025-02-01,Outflow,OPEX - Rent,-6284.55,125382.42000000001
2025-02-01,Outflow,OPEX - Salaries,-38170.78,125382.42000000001
2025-02-02,Inflow,Sales Payout T+1,2793.16,136157.28000000003
2025-02-02,Inflow,Sales Payout T+7,7981.7,136157.28000000003
2025-02-03,Inflow,Sales Payout T+1,2634.74,148129.62
2025-02-03,Inflow,Sales Payout T+7,9337.6,148129.62
2025-02-04,Inflow,Sales Payout T+1,2098.62,160167.52000000002
2025-02-04,Inflow,Sales Payout T+7,9939.28,160167.52000000002
2025-02-05,Inflow,Sales Payout T+7,10848.26,174088.24000000002
2025-02-05,Inflow,Sales Payout T+1,3072.46,174088.24000000002
2025-02-06,Inflow,Sales Payout T+1,2609.53,186024.47000000003
2025-02-06,Inflow,Sales Payout T+7,9326.7,186024.47000000003
2025-02-07,Inflow,Sales Payout T+1,2815.1,140909.08000000002
2025-02-07,Inflow,Sales Payout T+7,9264.82,140909.08000000002
2025-02-07,Outflow,Suppliers (COGS+Shipping),-57195.31,140909.08000000002
2025-02-08,Inflow,Sales Payout T+1,2743.63,154825.35000000003
2025-02-08,Inflow,Sales Payout T+7,11172.64,154825.35000000003
2025-02-09,Inflow,Sales Payout T+1,3078.68,168442.97000000003
2025-02-09,Inflow,Sales Payout T+7,10538.94,168442.97000000003
2025-02-10,Outflow,OPEX - Tools & SaaS,-772.37,178986.26
2025-02-10,Inflow,Sales Payout T+7,8394.47,178986.26
2025-02-10,Inflow,Sales Payout T+1,2921.19,178986.26
2025-02-11,Inflow,Sales Payout T+1,2482.37,193758.48000000004
2025-02-11,Inflow,Sales Payout T+7,12289.85,193758.48000000004
2025-02-12,Inflow,Sales Payout T+1,2176.11,206372.72000000003
2025-02-12,Inflow,Sales Payout T+7,10438.13,206372.72000000003
2025-02-13,Inflow,Sales Payout T+1,2891.71,220524.81000000003
2025-02-13,Inflow,Sales Payout T+7,11260.38,220524.81000000003
2025-02-14,Inflow,Sales Payout T+1,1731.24,170212.25000000003
2025-02-14,Inflow,Sales Payout T+7,10974.5,170212.25000000003
2025-02-14,Outflow,Suppliers (COGS+Shipping),-63018.3,170212.25000000003
2025-02-15,Inflow,Sales Payout T+7,12314.73,144280.78000000003
2025-02-15,Outflow,Advertising,-12822.26,144280.78000000003
2025-02-15,Inflow,Sales Payout T+1,2052.1,144280.78000000003
2025-02-15,Outflow,Taxes,-27476.04,144280.78000000003
2025-02-16,Inflow,Sales Payout T+7,11684.76,158242.46000000002
2025-02-16,Inflow,Sales Payout T+1,2276.92,158242.46000000002
2025-02-17,Inflow,Sales Payout T+1,1946.81,170118.74000000002
2025-02-17,Inflow,Sales Payout T+7,9929.47,170118.74000000002
2025-02-18,Inflow,Sales Payout T+1,3241.94,182065.14
2025-02-18,Inflow,Sales Payout T+7,8704.46,182065.14
2025-02-19,Inflow,Sales Payout T+1,2268.8,195900.76
2025-02-19,Inflow,Sales Payout T+7,11566.82,195900.76
2025-02-20,Inflow,Sales Payout T+1,1646.7,203151.52000000002
2025-02-20,Inflow,Sales Payout T+7,6924.94,203151.52000000002
2025-02-20,Outflow,OPEX - Utilities,-1320.88,203151.52000000002
2025-02-21,Outflow,Suppliers (COGS+Shipping),-49770.52,163762.01
2025-02-21,Inflow,Sales Payout T+7,8208.39,163762.01
2025-02-21,Inflow,Sales Payout T+1,2172.62,163762.01
2025-02-22,Inflow,Sales Payout T+1,1706.49,174576.17000000004
2025-02-22,Inflow,Sales Payout T+7,9107.67,174576.17000000004
2025-02-23,Inflow,Sales Payout T+1,2610.95,184974.34000000003
2025-02-23,Inflow,Sales Payout T+7,7787.22,184974.34000000003
2025-02-24,Inflow,Sales Payout T+1,2224.35,200166.47000000003
2025-02-24,Inflow,Sales Payout T+7,12967.78,200166.47000000003
2025-02-25,Inflow,Sales Payout T+1,2684.82,209834.35000000003
2025-02-25,Inflow,Sales Payout T+7,9075.19,209834.35000000003
2025-02-25,Outflow,OPEX - Logistics Overhead,-2092.13,209834.35000000003
2025-02-26,Inflow,Sales Payout T+1,2499.59,218920.75000000003
2025-02-26,Inflow,Sales Payout T+7,6586.81,218920.75000000003
2025-02-27,Inflow,Sales Payout T+7,8690.49,229644.48000000004
2025-02-27,Inflow,Sales Payout T+1,2033.24,229644.48000000004
2025-02-28,Inflow,Sales Payout T+1,2351.52,175435.72000000003
2025-02-28,Inflow,Sales Payout T+7,6825.98,175435.72000000003
2025-02-28,Outflow,Advertising,-12822.269999999999,175435.72000000003
2025-02-28,Outflow,Suppliers (COGS+Shipping),-50563.99,175435.72000000003
2025-03-01,Inflow,Sales Payout T+1,1685.9,144567.24000000005
2025-03-01,Inflow,Sales Payout T+7,10443.79,144567.24000000005
2025-03-01,Outflow,OPEX - Rent,-6203.31,144567.24000000005
2025-03-01,Outflow,OPEX - Salaries,-36794.86,144567.24000000005
2025-03-02,Inflow,Sales Payout T+1,2542.64,156007.26000000007
2025-03-02,Inflow,Sales Payout T+7,8897.38,156007.26000000007
2025-03-03,Inflow,Sales Payout T+1,1703.41,168449.94000000006
2025-03-03,Inflow,Sales Payout T+7,10739.27,168449.94000000006
2025-03-04,Inflow,Sales Payout T+7,9998.34,180722.47000000006
2025-03-04,Inflow,Sales Payout T+1,2274.19,180722.47000000006
2025-03-05,Inflow,Sales Payout T+1,2398.24,191253.65000000005
2025-03-05,Inflow,Sales Payout T+7,8132.94,191253.65000000005
2025-03-06,Inflow,Sales Payout T+1,3034.67,203694.41000000006
2025-03-06,Inflow,Sales Payout T+7,9406.09,203694.41000000006
2025-03-07,Inflow,Sales Payout T+1,1660.19,161712.82000000007
2025-03-07,Inflow,Sales Payout T+7,6743.59,161712.82000000007
2025-03-07,Outflow,Suppliers (COGS+Shipping),-50385.37,161712.82000000007
2025-03-08,Inflow,Sales Payout T+1,2471.42,174354.82000000007
2025-03-08,Inflow,Sales Payout T+7,10170.58,174354.82000000007
2025-03-09,Inflow,Sales Payout T+7,6813.65,184158.52000000008
2025-03-09,Inflow,Sales Payout T+1,2990.05,184158.52000000008
2025-03-10,Outflow,OPEX - Tools & SaaS,-962.06,194366.99000000008
2025-03-10,Inflow,Sales Payout T+7,9096.76,194366.99000000008
2025-03-10,Inflow,Sales Payout T+1,2073.77,194366.99000000008
2025-03-11,Inflow,Sales Payout T+1,2871.14,206831.07000000007
2025-03-11,Inflow,Sales Payout T+7,9592.94,206831.07000000007
2025-03-12,Inflow,Sales Payout T+1,2634.44,221604.18000000005
2025-03-12,Inflow,Sales Payout T+7,12138.67,221604.18000000005
2025-03-13,Inflow,Sales Payout T+1,2052.2,230297.12000000005
2025-03-13,Inflow,Sales Payout T+7,6640.74,230297.12000000005
2025-03-14,Inflow,Sales Payout T+1,2194.03,188004.60000000006
2025-03-14,Inflow,Sales Payout T+7,9885.69,188004.60000000006
2025-03-14,Outflow,Suppliers (COGS+Shipping),-54372.24,188004.60000000006
2025-03-15,Outflow,Taxes,-27326.28,156443.56000000006
2025-03-15,Outflow,Advertising,-18547.26,156443.56000000006
2025-03-15,Inflow,Sales Payout T+1,2352.32,156443.56000000006
2025-03-15,Inflow,Sales Payout T+7,11960.18,156443.56000000006
2025-03-16,Inflow,Sales Payout T+1,2225.95,166964.61000000007
2025-03-16,Inflow,Sales Payout T+7,8295.1,166964.61000000007
2025-03-17,Inflow,Sales Payout T+1,2423.35,180872.52000000008
2025-03-17,Inflow,Sales Payout T+7,11484.56,180872.52000000008
2025-03-18,Inflow,Sales Payout T+1,2245.2,193655.46000000008
2025-03-18,Inflow,Sales Payout T+7,10537.74,193655.46000000008
2025-03-19,Inflow,Sales Payout T+1,2906.97,204771.23000000007
2025-03-19,Inflow,Sales Payout T+7,8208.8,204771.23000000007
2025-03-20,Outflow,OPEX - Utilities,-1326.18,213998.86000000007
2025-03-20,Inflow,Sales Payout T+1,1777.7,213998.86000000007
